id;created_date;created_by;last_modified_date;last_modified_by;score;user_id;sequence_id
1;2020-05-04T19:48:31;Connecticut;2020-05-05T01:58:11;Sleek interface e-commerce;98203;1;1
2;2020-05-04T16:25:36;Savings Account synergies;2020-05-04T22:11:32;Berkshire Sleek Metal Keyboard;92849;2;2
3;2020-05-04T22:30:00;Dalasi;2020-05-04T19:43:58;Home Loan Account;40957;2;3
4;2020-05-04T23:22:55;incremental scalable;2020-05-04T17:42:45;transitional robust matrices;9534;1;4
5;2020-05-05T04:56:56;action-items;2020-05-05T04:57:45;Solutions infrastructures Steel;74739;2;5
6;2020-05-04T19:22:31;Marketing;2020-05-04T18:59:34;Multi-channelled;26697;2;6
7;2020-05-04T22:34:47;software;2020-05-05T08:09:15;lime Industrial ROI;19202;2;7
8;2020-05-05T02:55:52;Plastic Accountability data-warehouse;2020-05-05T04:38:51;Assimilated;77464;1;8
9;2020-05-05T03:00:54;white;2020-05-05T07:15:55;Communications;41752;2;9
10;2020-05-04T11:35:04;firewall Japan morph;2020-05-04T22:34:51;Sports world-class;80449;2;10
